tdate,nbs_制造业采购经理指数_pct,nbs_新订单指数_pct,nbs_原材料库存指数_pct,nbs_产成品库存指数_pct,nbs_主要原材料购进价格指数_pct,nbs_出厂价格指数_pct,nbs_房地产投资_累计值_亿元,nbs_房地产投资_累计增长_pct,nbs_房地产新开工施工面积累计值_万平方米,nbs_房地产新开工施工面积累计增长_pct,nbs_新建商品房销售面积累计值_万平方米,nbs_新建商品房销售面积累计增长_pct,nbs_固定资产投资额累计增长_pct,afre_社会融资规模存量_stock,afre_社会融资规模存量_growth_pct,money_货币和准货币_M2,ths_规模以上工业企业_产成品存货_期末同比,ths_金融机构_新增人民币贷款_中长期贷款_当月值,ths_PPI_当月同比,ths_CPI_当月同比,ths_进出口差额_人民币计价_当月值,ths_规模以上工业企业_产成品存货_期末值,ths_规模以上工业增加值_当月同比,ths_金融机构_人民币贷款余额
2020-01-01,50.0,51.4,47.1,46.0,53.8,49.0,,,,,,,,256.34,10.7,2023066.49,,42731.56,0.1,5.38,3829.00040834,,-4.3135192,1564498.05
2020-02-01,35.7,29.3,33.9,46.1,51.4,44.3,10115.42,-16.3,10369.62,-44.9,8474.95,-39.9,-24.5,257.17,10.7,2030830.42,8.7,4528.0,-0.4,5.17,-4269.85706547,42486.2,-25.86705202,1573554.86
2020-03-01,52.0,52.0,49.0,49.1,45.5,43.8,21962.61,-7.7,28202.99,-27.2,21978.32,-26.3,-16.1,262.27,11.5,2080923.41,14.9,14391.6,-1.5,4.27,1398.65697862,43829.7,-1.1,1602089.22
2020-04-01,50.8,50.2,48.2,49.3,42.5,42.2,33102.84,-3.3,47767.62,-18.4,33972.58,-19.3,-10.3,265.22,12.0,2093533.83,10.6,9936.67,-3.1,3.3,3152.89427294,44277.2,3.9,1619066.91
2020-05-01,50.6,50.9,47.3,47.3,51.6,48.7,45919.59,-0.3,69532.81,-12.8,48702.97,-12.3,-6.3,268.38,12.5,2100183.74,9.0,9966.22,-3.7,2.44,4335.47820653,44731.3,4.4,1633888.15
2020-06-01,50.9,51.4,47.6,46.8,56.8,52.4,62780.21,1.9,97536.43,-7.6,69403.68,-8.4,-3.1,271.78,12.8,2134948.66,8.3,13640.91,-3.0,2.48,3165.77083839,44403.3,4.8,1651998.58
2020-07-01,51.1,51.7,47.9,47.6,58.1,52.2,75324.61,3.4,120031.54,-4.5,83631.36,-5.8,-1.6,273.33,12.9,2125458.46,7.4,12035.04,-2.4,2.7,4279.21623297,44848.2,4.8,1661925.21
2020-08-01,51.0,52.0,47.3,47.1,58.3,53.2,88454.14,4.6,139916.96,-3.6,98485.95,-3.3,-0.3,276.73,13.3,2136836.91,7.9,12823.01,-2.0,2.38,4039.27145791,45499.4,5.6,1674708.18
2020-09-01,51.5,52.8,48.5,48.4,58.5,52.5,103484.2,5.6,160090.0,-3.4,117072.67,-1.8,0.8,280.05,13.5,2164084.8,8.2,17032.6,-2.1,1.72,2462.89767714,45278.4,6.9,1693665.4
2020-10-01,51.4,52.8,48.0,44.9,58.8,53.2,116555.76,6.3,180718.42,-2.6,133293.8,0.0,1.8,281.25,13.7,2149720.42,6.9,8171.77,-2.1,0.5,3943.51293804,45771.0,6.9,1700563.15
2020-11-01,52.1,53.9,48.6,45.7,62.6,56.5,129492.36,6.8,201084.67,-2.0,150834.45,1.3,2.6,283.25,13.6,2172002.55,7.3,10935.74,-1.5,-0.5,4992.54933297,46421.1,7.0,1714899.83
2020-12-01,51.9,53.6,48.6,46.2,68.0,58.9,141442.95,7.0,224433.13,-1.2,176086.22,2.6,2.9,284.75,13.3,2186795.89,7.5,9849.33,-0.4,0.2,5013.0410269,46018.6,7.3,1727452.07
2021-01-01,51.3,52.3,49.0,49.0,67.1,57.2,,,,,,,,289.74,13.0,2213047.33,,30316.25,0.3,-0.3,4026.99693173,,25.39857064,1763234.93
2021-02-01,50.6,51.5,47.7,48.0,66.7,58.5,13985.87,38.3,17036.94,64.3,17363.14,104.9,35.0,291.36,13.3,2236030.26,8.6,15155.0,1.7,-0.2,2286.94399018,46031.9,52.33918129,1776828.68
2021-03-01,51.9,53.6,48.4,46.7,69.4,59.8,27575.82,25.6,36162.54,28.2,36007.05,63.8,25.6,294.56,12.3,2276488.45,8.5,19461.68,4.4,0.4,735.54759963,47275.8,14.1,1804131.37
2021-04-01,51.1,52.0,48.3,46.8,66.9,57.3,40239.76,21.6,53904.55,12.8,50305.0,48.1,19.9,296.15,11.7,2262107.12,8.2,11523.01,6.8,0.9,2608.48069169,47897.2,9.8,1818816.61
2021-05-01,51.0,51.3,47.7,46.5,72.8,60.6,54318.08,18.3,74348.71,6.9,66383.32,36.3,15.4,297.98,11.0,2275538.07,10.2,10953.9,9.0,1.3,2784.33906667,49325.3,8.8,1833780.32
2021-06-01,50.9,51.5,48.0,47.1,61.2,51.4,72179.07,15.0,101288.34,3.8,88635.35,27.7,12.6,301.56,11.0,2317788.36,11.3,13540.21,8.8,1.1,3193.91320428,49471.6,8.3,1854976.71
2021-07-01,50.4,50.9,47.7,47.6,62.9,53.8,84895.41,12.7,118948.27,-0.9,101648.18,21.5,10.3,302.47,10.7,2302153.82,13.0,8910.91,9.0,1.0,3514.45489829,50825.6,6.4,1865808.38
2021-08-01,50.1,49.6,47.7,47.7,61.3,53.4,98059.73,10.9,135502.09,-3.2,114192.81,15.9,8.9,305.29,10.3,2312267.68,14.2,9473.64,9.5,0.8,3769.01800107,52011.2,5.3,1877960.82
2021-09-01,49.6,49.3,48.2,47.2,63.5,56.4,112568.07,8.8,152943.59,-4.5,130331.78,11.3,7.3,308.05,10.0,2342829.7,13.7,11640.91,10.7,0.7,4382.41094651,51544.2,3.1,1894591.04
2021-10-01,49.2,48.8,47.0,46.3,72.1,61.1,124933.62,7.2,166736.25,-7.7,143040.71,7.3,6.1,309.45,10.0,2336160.48,16.3,6410.56,13.5,1.5,5452.60745729,53263.7,3.5,1902852.75
2021-11-01,50.1,49.4,47.7,47.9,52.9,48.9,137313.96,6.0,182819.53,-9.1,158130.73,4.8,5.2,311.9,10.1,2356012.76,17.9,9237.81,12.9,2.3,4578.75245246,54780.5,3.8,1915584.74
2021-12-01,50.3,49.7,49.2,48.5,48.1,45.5,147602.08,4.4,198895.05,-11.4,179433.41,1.9,4.9,314.12,10.3,2382899.56,17.1,6894.73,10.3,1.5,5966.83579924,53986.1,4.3,1926902.81
2022-01-01,50.1,49.3,49.1,48.0,56.4,50.9,,,,,,,,320.03,10.5,2431022.72,,27668.68,9.1,0.9,5058.25095949,,3.857957036,1966521.17
2022-02-01,50.2,50.7,48.1,47.3,60.0,54.1,14499.38,3.7,14966.74,-12.2,15702.61,-9.6,12.2,321.12,10.2,2441488.9,16.8,4593.55,8.8,0.9,1663.98396605,53820.6,12.79590531,1978857.03
2022-03-01,49.5,48.8,47.3,48.9,66.1,56.7,27764.95,0.7,29837.59,-17.5,31045.96,-13.8,9.3,325.63,10.5,2497688.34,18.1,17136.52,8.3,1.5,2718.60140002,56061.0,5.0,2010110.55
2022-04-01,47.4,42.6,46.5,50.3,64.2,54.4,39154.31,-2.7,39739.01,-26.3,39768.15,-20.9,6.8,326.47,10.2,2499710.9,20.0,2337.88,8.0,2.1,2942.52846349,57875.0,-2.9,2016564.32
2022-05-01,49.6,48.2,47.9,49.3,55.8,49.5,52133.62,-4.0,51628.07,-30.6,50738.38,-23.6,6.2,329.2,10.5,2527026.15,19.7,6598.43,6.4,2.1,4858.83379338,59583.8,0.7,2035448.45
2022-06-01,50.2,50.4,48.1,48.6,52.0,46.3,68314.21,-5.4,66423.47,-34.4,68923.04,-22.2,6.1,334.28,10.8,2581451.2,18.9,18714.46,6.1,2.5,6183.99168235,59346.2,3.9,2063511.81
2022-07-01,49.0,48.5,47.9,48.0,40.4,40.1,79462.39,-6.4,76066.76,-36.1,78177.97,-23.1,5.7,334.9,10.7,2578078.57,16.8,4944.18,4.2,2.7,6622.38653509,60071.8,3.8,2070301.63
2022-08-01,49.4,49.2,48.0,45.2,44.3,44.5,90808.86,-7.4,85061.83,-37.2,87890.4,-23.0,5.8,337.22,10.5,2595068.27,14.1,10010.12,2.3,2.5,5197.16727165,60185.8,4.2,2082843.52
2022-09-01,50.1,49.8,47.6,47.3,51.3,47.1,103558.54,-8.0,94767.26,-38.0,101421.72,-22.2,5.9,340.65,10.6,2626600.92,13.8,17005.55,0.948,2.8,5558.65768422,59566.9,6.3,2107581.92
2022-10-01,49.2,48.1,47.7,48.0,53.3,48.7,113945.3,-8.8,103721.71,-37.8,111179.29,-22.3,5.8,341.42,10.3,2612914.57,12.6,4955.18,-1.3,2.1,5620.36135913,60955.2,5.0,2113733.7
2022-11-01,48.0,46.4,46.7,48.1,50.7,47.4,123863.0,-9.8,111632.04,-38.9,121250.08,-23.3,5.3,343.19,10.0,2647008.48,11.4,9469.64,-1.3,1.6,4654.14593063,61943.5,2.2,2125869.63
2022-12-01,47.0,43.9,47.1,46.6,51.6,49.0,132895.41,-10.0,120587.07,-39.4,135836.89,-24.3,5.1,344.22,9.6,2664320.84,9.9,13921.58,-0.7,1.8,4866.84376748,60363.2,1.3,2139852.67
2023-01-01,50.1,50.9,49.6,47.2,52.2,48.7,,,,,,,,350.93,9.4,2738072.06,,40817.94,-0.8,2.1,6412.98943603,,-9.793161672,2197455.14
2023-02-01,52.6,54.1,49.8,50.6,54.4,51.2,13669.25,-5.7,13567.23,-9.4,15132.84,-3.6,5.5,353.97,9.9,2755249.23,10.7,11991.05,-1.4,1.0,798.00424104,59887.1,18.77481566,2215575.67
2023-03-01,51.9,53.6,48.3,49.5,50.9,48.6,25973.72,-5.8,24121.15,-19.2,29945.74,-1.8,5.1,359.02,10.0,2814566.31,9.1,26956.66,-2.5,0.7,5251.97513228,61405.2,3.9,2254455.1
2023-04-01,49.2,48.8,47.9,49.4,46.4,44.9,35514.21,-6.2,31219.95,-21.2,37635.87,-0.4,4.7,359.95,10.0,2808469.34,5.9,5513.04,-3.6,0.1,5830.16164464,61343.6,5.6,2261643.47
2023-05-01,48.8,48.3,47.6,48.9,40.8,41.6,45701.25,-7.2,39722.73,-22.6,46440.01,-0.9,4.0,361.42,9.5,2820504.68,3.2,9381.57,-4.6,0.2,4477.54811089,61371.0,3.5,2275271.41
