tdate,ths_规模以上工业企业_产成品存货_期末同比,nbs_房地产投资_累计增长_pct,nbs_房地产新开工施工面积累计增长_pct,nbs_新建商品房销售面积累计增长_pct,afre_社会融资规模存量_growth_pct,money_货币和准货币_M2,ths_金融机构_人民币贷款余额,ths_金融机构_新增人民币贷款_中长期贷款_当月值,ths_规模以上工业增加值_当月同比,nbs_固定资产投资额累计增长_pct,ths_进出口差额_人民币计价_当月值,ths_CPI_当月同比,ths_PPI_当月同比,nbs_制造业采购经理指数_pct,nbs_新订单指数_pct,nbs_原材料库存指数_pct,nbs_产成品库存指数_pct,nbs_主要原材料购进价格指数_pct,nbs_出厂价格指数_pct
2020-01-01,,,,,10.7,2023066.49,1564498.05,42731.56,-4.3135192,,3829.00040834,5.38,0.1,50.0,51.4,47.1,46.0,53.8,49.0
2020-02-01,8.7,-16.3,-44.9,-39.9,10.7,2030830.42,1573554.86,4528.0,-25.86705202,-24.5,-4269.85706547,5.17,-0.4,35.7,29.3,33.9,46.1,51.4,44.3
2020-03-01,14.9,-7.7,-27.2,-26.3,11.5,2080923.41,1602089.22,14391.6,-1.1,-16.1,1398.65697862,4.27,-1.5,52.0,52.0,49.0,49.1,45.5,43.8
2020-04-01,10.6,-3.3,-18.4,-19.3,12.0,2093533.83,1619066.91,9936.67,3.9,-10.3,3152.89427294,3.3,-3.1,50.8,50.2,48.2,49.3,42.5,42.2
2020-05-01,9.0,-0.3,-12.8,-12.3,12.5,2100183.74,1633888.15,9966.22,4.4,-6.3,4335.47820653,2.44,-3.7,50.6,50.9,47.3,47.3,51.6,48.7
2020-06-01,8.3,1.9,-7.6,-8.4,12.8,2134948.66,1651998.58,13640.91,4.8,-3.1,3165.77083839,2.48,-3.0,50.9,51.4,47.6,46.8,56.8,52.4
2020-07-01,7.4,3.4,-4.5,-5.8,12.9,2125458.46,1661925.21,12035.04,4.8,-1.6,4279.21623297,2.7,-2.4,51.1,51.7,47.9,47.6,58.1,52.2
2020-08-01,7.9,4.6,-3.6,-3.3,13.3,2136836.91,1674708.18,12823.01,5.6,-0.3,4039.27145791,2.38,-2.0,51.0,52.0,47.3,47.1,58.3,53.2
2020-09-01,8.2,5.6,-3.4,-1.8,13.5,2164084.8,1693665.4,17032.6,6.9,0.8,2462.89767714,1.72,-2.1,51.5,52.8,48.5,48.4,58.5,52.5
2020-10-01,6.9,6.3,-2.6,0.0,13.7,2149720.42,1700563.15,8171.77,6.9,1.8,3943.51293804,0.5,-2.1,51.4,52.8,48.0,44.9,58.8,53.2
