product_id,b_sharpe,c_sharpe,delta_sharpe,b_annual_return,c_annual_return,delta_annual_return,b_max_drawdown,c_max_drawdown,delta_max_drawdown,b_trade_count,c_trade_count,delta_trade_count,trade_count_pct_change,b_trade_win_rate,c_trade_win_rate,delta_trade_win_rate,b_daily_win_rate_net,c_daily_win_rate_net,delta_daily_win_rate_net
ZN,-0.978700,1.776273,2.754973,-0.005967,0.010983,0.016950,-0.006229,-0.001012,0.005217,1.000000,7.000000,6.000000,6.000000,0.000000,1.000000,1.000000,0.000000,0.019157,0.019157
RU,-1.884960,0.552596,2.437556,-0.134327,0.027705,0.162032,-0.124370,-0.050284,0.074085,65.000000,23.000000,-42.000000,-0.646154,0.461538,0.565217,0.103679,0.086758,0.045662,-0.041096
CU,-0.964402,0.973762,1.938163,-0.035774,0.048010,0.083784,-0.049767,-0.029137,0.020630,213.000000,135.000000,-78.000000,-0.366197,0.511737,0.555556,0.043818,0.226054,0.176245,-0.049808
J,-1.226475,0.346821,1.573296,-0.033848,0.031451,0.065299,-0.040030,-0.098632,-0.058602,5.000000,114.000000,109.000000,21.800000,0.200000,0.508772,0.308772,0.004566,0.200913,0.196347
P,-0.461298,1.068435,1.529732,-0.026460,0.007861,0.034321,-0.056567,0.000000,0.056567,93.000000,1.000000,-92.000000,-0.989247,0.516129,1.000000,0.483871,0.173516,0.004566,-0.168950
RB,0.320584,1.767602,1.447018,0.004951,0.024731,0.019780,-0.010650,-0.001060,0.009590,15.000000,5.000000,-10.000000,-0.666667,0.600000,0.800000,0.200000,0.031111,0.017778,-0.013333
FU,0.045520,1.021320,0.975799,-0.016405,0.163142,0.179547,-0.141790,-0.088575,0.053216,44.000000,164.000000,120.000000,2.727273,0.477273,0.536585,0.059313,0.053333,0.262222,0.208889
PG,-0.232720,0.707210,0.939930,-0.013485,0.008809,0.022294,-0.047909,-0.005733,0.042177,80.000000,5.000000,-75.000000,-0.937500,0.575000,0.600000,0.025000,0.105023,0.013699,-0.091324
Y,0.000000,0.843883,0.843883,0.000000,0.009829,0.009829,0.000000,-0.002085,-0.002085,0.000000,2.000000,2.000000,,0.000000,0.500000,0.500000,0.000000,0.004566,0.004566
PP,-0.891989,-0.112130,0.779858,-0.018435,-0.002378,0.016058,-0.027875,-0.014323,0.013552,21.000000,17.000000,-4.000000,-0.190476,0.523810,0.470588,-0.053221,0.045662,0.031963,-0.013699
M,1.740832,2.512332,0.771500,0.064068,0.038900,-0.025168,-0.015521,-0.001151,0.014370,51.000000,11.000000,-40.000000,-0.784314,0.588235,0.818182,0.229947,0.127854,0.036530,-0.091324
EG,-1.677675,-0.907185,0.770490,-0.040035,-0.016085,0.023950,-0.035159,-0.022831,0.012328,36.000000,8.000000,-28.000000,-0.777778,0.361111,0.375000,0.013889,0.036530,0.009132,-0.027397
SN,-0.101603,0.600603,0.702206,-0.012431,0.049725,0.062155,-0.074973,-0.056240,0.018733,81.000000,44.000000,-37.000000,-0.456790,0.469136,0.545455,0.076319,0.088123,0.065134,-0.022989
AU,0.258973,0.826668,0.567694,0.020792,0.141934,0.121142,-0.093539,-0.102718,-0.009179,515.000000,334.000000,-181.000000,-0.351456,0.479612,0.458084,-0.021528,0.390511,0.248175,-0.142336
C,-0.351920,0.051197,0.403117,-0.014146,0.001088,0.015234,-0.038256,-0.032927,0.005329,272.000000,130.000000,-142.000000,-0.522059,0.437500,0.376923,-0.060577,0.214612,0.082192,-0.132420
AL,1.488196,1.659217,0.171021,0.105378,0.149657,0.044280,-0.023789,-0.045760,-0.021971,77.000000,182.000000,105.000000,1.363636,0.519481,0.565934,0.046454,0.083942,0.164234,0.080292
SP,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
HC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
PB,1.030118,0.679070,-0.351048,0.046096,0.013668,-0.032428,-0.048948,-0.010027,0.038921,63.000000,61.000000,-2.000000,-0.031746,0.619048,0.540984,-0.078064,0.134100,0.103448,-0.030651
SS,-1.866808,-2.296914,-0.430106,-0.056245,-0.088024,-0.031779,-0.062215,-0.099603,-0.037388,145.000000,252.000000,107.000000,0.737931,0.462069,0.428571,-0.033498,0.160920,0.229885,0.068966
AG,0.828480,0.227400,-0.601080,0.316957,0.014378,-0.302578,-0.377949,-0.076608,0.301341,301.000000,67.000000,-234.000000,-0.777409,0.524917,0.597015,0.072098,0.310219,0.105839,-0.204380
JM,0.101911,-0.541130,-0.643041,0.005140,-0.050337,-0.055477,-0.101796,-0.114747,-0.012952,102.000000,61.000000,-41.000000,-0.401961,0.480392,0.475410,-0.004982,0.114155,0.082192,-0.031963
B,0.371657,-0.317325,-0.688982,0.002879,-0.015570,-0.018449,-0.003166,-0.058759,-0.055593,4.000000,38.000000,34.000000,8.500000,0.500000,0.421053,-0.078947,0.009132,0.041096,0.031963
FB,-0.333602,-1.046467,-0.712865,-0.016331,-0.051835,-0.035503,-0.039299,-0.068660,-0.029361,227.000000,219.000000,-8.000000,-0.035242,0.436123,0.452055,0.015931,0.223744,0.228311,0.004566
JD,-0.424550,-1.177524,-0.752974,-0.024224,-0.054746,-0.030521,-0.067379,-0.065264,0.002116,150.000000,65.000000,-85.000000,-0.566667,0.533333,0.584615,0.051282,0.246575,0.146119,-0.100457
CS,0.277694,-0.501435,-0.779129,0.005339,-0.006693,-0.012032,-0.004947,-0.012595,-0.007647,26.000000,12.000000,-14.000000,-0.538462,0.461538,0.333333,-0.128205,0.022831,0.018265,-0.004566
L,-0.001035,-0.907821,-0.906786,-0.000467,-0.045835,-0.045369,-0.032327,-0.077687,-0.045360,65.000000,59.000000,-6.000000,-0.092308,0.584615,0.440678,-0.143937,0.086758,0.105023,0.018265
BU,1.087351,-0.515772,-1.603123,0.021789,-0.037658,-0.059447,-0.011945,-0.107194,-0.095249,13.000000,138.000000,125.000000,9.615385,0.615385,0.463768,-0.151616,0.024490,0.195918,0.171429
RR,-1.134671,-3.422897,-2.288227,-0.064172,-0.183182,-0.119009,-0.092728,-0.162428,-0.069700,270.000000,287.000000,17.000000,0.062963,0.362963,0.379791,0.016828,0.200913,0.205479,0.004566
