product_id,b_sharpe,c_sharpe,delta_sharpe,b_annual_return,c_annual_return,delta_annual_return,b_max_drawdown,c_max_drawdown,delta_max_drawdown,b_trade_count,c_trade_count,delta_trade_count,trade_count_pct_change,b_trade_win_rate,c_trade_win_rate,delta_trade_win_rate,b_daily_win_rate_net,c_daily_win_rate_net,delta_daily_win_rate_net
RU,-1.884960,0.727998,2.612958,-0.134327,0.058946,0.193272,-0.124370,-0.062608,0.061762,65.000000,99.000000,34.000000,0.523077,0.461538,0.555556,0.094017,0.086758,0.086758,0.000000
FU,0.045520,1.594332,1.548812,-0.016405,0.562976,0.579381,-0.141790,-0.201815,-0.060025,44.000000,107.000000,63.000000,1.431818,0.477273,0.532710,0.055438,0.053333,0.142222,0.088889
Y,0.000000,1.414903,1.414903,0.000000,0.022026,0.022026,0.000000,-0.002085,-0.002085,0.000000,6.000000,6.000000,,0.000000,0.500000,0.500000,0.000000,0.022831,0.022831
SP,0.000000,1.104425,1.104425,0.000000,0.044264,0.044264,0.000000,-0.025890,-0.025890,0.000000,22.000000,22.000000,,0.000000,0.681818,0.681818,0.000000,0.054795,0.054795
SS,-1.866808,-0.771277,1.095531,-0.056245,-0.031502,0.024743,-0.062215,-0.062537,-0.000322,145.000000,219.000000,74.000000,0.510345,0.462069,0.534247,0.072178,0.160920,0.245211,0.084291
FB,-0.333602,0.750281,1.083884,-0.016331,0.040445,0.056776,-0.039299,-0.051013,-0.011714,227.000000,195.000000,-32.000000,-0.140969,0.436123,0.487179,0.051056,0.223744,0.273973,0.050228
JD,-0.424550,0.570399,0.994949,-0.024224,0.026259,0.050484,-0.067379,-0.028245,0.039134,150.000000,63.000000,-87.000000,-0.580000,0.533333,0.571429,0.038095,0.246575,0.141553,-0.105023
ZN,-0.978700,0.000000,0.978700,-0.005967,0.000000,0.005967,-0.006229,0.000000,0.006229,1.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
PP,-0.891989,0.000000,0.891989,-0.018435,0.000000,0.018435,-0.027875,0.000000,0.027875,21.000000,0.000000,-21.000000,-1.000000,0.523810,0.000000,-0.523810,0.045662,0.000000,-0.045662
SN,-0.101603,0.688938,0.790541,-0.012431,0.061721,0.074152,-0.074973,-0.048454,0.026519,81.000000,57.000000,-24.000000,-0.296296,0.469136,0.561404,0.092268,0.088123,0.072797,-0.015326
RR,-1.134671,-0.685406,0.449264,-0.064172,-0.050213,0.013959,-0.092728,-0.096700,-0.003972,270.000000,260.000000,-10.000000,-0.037037,0.362963,0.388462,0.025499,0.200913,0.191781,-0.009132
BU,1.087351,1.454562,0.367211,0.021789,0.032951,0.011162,-0.011945,-0.006564,0.005381,13.000000,6.000000,-7.000000,-0.538462,0.615385,0.666667,0.051282,0.024490,0.016327,-0.008163
PG,-0.232720,0.000000,0.232720,-0.013485,0.000000,0.013485,-0.047909,0.000000,0.047909,80.000000,0.000000,-80.000000,-1.000000,0.575000,0.000000,-0.575000,0.105023,0.000000,-0.105023
AG,0.828480,0.880545,0.052064,0.316957,0.274132,-0.042824,-0.377949,-0.168489,0.209460,301.000000,180.000000,-121.000000,-0.401993,0.524917,0.455556,-0.069361,0.310219,0.222628,-0.087591
CU,-0.964402,-1.123554,-0.159152,-0.035774,-0.051195,-0.015421,-0.049767,-0.064222,-0.014455,213.000000,56.000000,-157.000000,-0.737089,0.511737,0.482143,-0.029594,0.226054,0.068966,-0.157088
P,-0.461298,-0.667816,-0.206518,-0.026460,-0.005812,0.020648,-0.056567,-0.007676,0.048891,93.000000,2.000000,-91.000000,-0.978495,0.516129,0.500000,-0.016129,0.173516,0.004566,-0.168950
CS,0.277694,0.050105,-0.227590,0.005339,0.000182,-0.005157,-0.004947,-0.002414,0.002534,26.000000,2.000000,-24.000000,-0.923077,0.461538,0.500000,0.038462,0.022831,0.004566,-0.018265
L,-0.001035,-0.247338,-0.246303,-0.000467,-0.009593,-0.009126,-0.032327,-0.060139,-0.027812,65.000000,54.000000,-11.000000,-0.169231,0.584615,0.518519,-0.066097,0.086758,0.114155,0.027397
B,0.371657,0.000000,-0.371657,0.002879,0.000000,-0.002879,-0.003166,0.000000,0.003166,4.000000,0.000000,-4.000000,-1.000000,0.500000,0.000000,-0.500000,0.009132,0.000000,-0.009132
JM,0.101911,-0.679110,-0.781021,0.005140,-0.056502,-0.061642,-0.101796,-0.109738,-0.007943,102.000000,51.000000,-51.000000,-0.500000,0.480392,0.392157,-0.088235,0.114155,0.068493,-0.045662
HC,0.000000,-0.835710,-0.835710,0.000000,-0.064672,-0.064672,0.000000,-0.099809,-0.099809,0.000000,23.000000,23.000000,,0.000000,0.434783,0.434783,0.000000,0.045662,0.045662
AU,0.258973,-0.663353,-0.922326,0.020792,-0.087609,-0.108401,-0.093539,-0.174677,-0.081139,515.000000,166.000000,-349.000000,-0.677670,0.479612,0.487952,0.008340,0.390511,0.222628,-0.167883
RB,0.320584,-0.603222,-0.923806,0.004951,-0.013123,-0.018074,-0.010650,-0.026329,-0.015679,15.000000,14.000000,-1.000000,-0.066667,0.600000,0.357143,-0.242857,0.031111,0.017778,-0.013333
PB,1.030118,0.099563,-0.930555,0.046096,0.017375,-0.028721,-0.048948,-0.072868,-0.023920,63.000000,107.000000,44.000000,0.698413,0.619048,0.495327,-0.123721,0.134100,0.118774,-0.015326
J,-1.226475,-2.189744,-0.963269,-0.033848,-0.195860,-0.162012,-0.040030,-0.173828,-0.133798,5.000000,161.000000,156.000000,31.200000,0.200000,0.434783,0.234783,0.004566,0.210046,0.205479
AL,1.488196,0.126360,-1.361836,0.105378,0.006914,-0.098464,-0.023789,-0.059929,-0.036140,77.000000,59.000000,-18.000000,-0.233766,0.519481,0.593220,0.073740,0.083942,0.072993,-0.010949
EG,-1.677675,-3.951931,-2.274256,-0.040035,-0.139325,-0.099290,-0.035159,-0.128568,-0.093409,36.000000,95.000000,59.000000,1.638889,0.361111,0.452632,0.091520,0.036530,0.114155,0.077626
C,-0.351920,-2.938193,-2.586274,-0.014146,-0.103125,-0.088979,-0.038256,-0.090939,-0.052684,272.000000,174.000000,-98.000000,-0.360294,0.437500,0.396552,-0.040948,0.214612,0.109589,-0.105023
M,1.740832,-1.291566,-3.032399,0.064068,-0.057286,-0.121354,-0.015521,-0.057846,-0.042325,51.000000,7.000000,-44.000000,-0.862745,0.588235,0.428571,-0.159664,0.127854,0.013699,-0.114155
