product_id,b_sharpe,c_sharpe,delta_sharpe,b_annual_return,c_annual_return,delta_annual_return,b_max_drawdown,c_max_drawdown,delta_max_drawdown,b_trade_count,c_trade_count,delta_trade_count,trade_count_pct_change,b_trade_win_rate,c_trade_win_rate,delta_trade_win_rate,b_daily_win_rate_net,c_daily_win_rate_net,delta_daily_win_rate_net
BU,-0.600123,0.946045,1.546168,-0.024784,0.021708,0.046492,-0.035022,-0.011877,0.023145,33.000000,19.000000,-14.000000,-0.424242,0.393939,0.578947,0.185008,0.040816,0.028571,-0.012245
V,-0.232732,1.240419,1.473152,-0.010875,0.063254,0.074130,-0.036543,-0.005972,0.030571,48.000000,11.000000,-37.000000,-0.770833,0.500000,0.818182,0.318182,0.077626,0.031963,-0.045662
AG,-0.014842,1.195015,1.209857,-0.003926,0.563174,0.567100,-0.101224,-0.368093,-0.266869,47.000000,536.000000,489.000000,10.404255,0.531915,0.500000,-0.031915,0.054745,0.299270,0.244526
I,0.042471,1.169102,1.126632,-0.004262,0.170952,0.175213,-0.115836,-0.069211,0.046625,149.000000,154.000000,5.000000,0.033557,0.523490,0.545455,0.021965,0.269406,0.301370,0.031963
PB,-0.538312,0.440332,0.978644,-0.025593,0.024118,0.049711,-0.063425,-0.025879,0.037547,90.000000,55.000000,-35.000000,-0.388889,0.555556,0.600000,0.044444,0.141762,0.111111,-0.030651
C,-0.660050,0.185452,0.845502,-0.013972,0.006860,0.020832,-0.033364,-0.033656,-0.000292,121.000000,246.000000,125.000000,1.033058,0.396694,0.439024,0.042330,0.118721,0.223744,0.105023
SS,-1.640316,-0.995108,0.645208,-0.058147,-0.019162,0.038985,-0.060626,-0.027986,0.032641,180.000000,45.000000,-135.000000,-0.750000,0.416667,0.311111,-0.105556,0.199234,0.057471,-0.141762
CS,-0.203282,0.428262,0.631544,-0.006243,0.007319,0.013562,-0.030103,-0.013344,0.016759,47.000000,27.000000,-20.000000,-0.425532,0.468085,0.629630,0.161545,0.059361,0.068493,0.009132
RU,-0.307853,0.268704,0.576558,-0.030681,0.017516,0.048197,-0.068557,-0.054822,0.013735,109.000000,69.000000,-40.000000,-0.366972,0.550459,0.565217,0.014759,0.118721,0.109589,-0.009132
RB,-1.461449,-0.902850,0.558600,-0.075071,-0.028952,0.046119,-0.081640,-0.042256,0.039384,51.000000,23.000000,-28.000000,-0.549020,0.431373,0.347826,-0.083546,0.066667,0.031111,-0.035556
ZN,-0.546224,0.000000,0.546224,-0.006597,0.000000,0.006597,-0.016276,0.000000,0.016276,27.000000,0.000000,-27.000000,-1.000000,0.481481,0.000000,-0.481481,0.026820,0.000000,-0.026820
SN,-0.176060,0.257640,0.433700,-0.019114,0.017320,0.036435,-0.097477,-0.082695,0.014782,60.000000,58.000000,-2.000000,-0.033333,0.516667,0.534483,0.017816,0.061303,0.068966,0.007663
A,-1.121710,-0.728760,0.392950,-0.036712,-0.024142,0.012570,-0.045893,-0.043058,0.002835,47.000000,40.000000,-7.000000,-0.148936,0.510638,0.525000,0.014362,0.059361,0.054795,-0.004566
NI,0.657234,0.908183,0.250949,0.057370,0.059936,0.002567,-0.078097,-0.019661,0.058436,119.000000,56.000000,-63.000000,-0.529412,0.546218,0.500000,-0.046218,0.183908,0.042146,-0.141762
