product_id,b_sharpe,c_sharpe,delta_sharpe,b_annual_return,c_annual_return,delta_annual_return,b_max_drawdown,c_max_drawdown,delta_max_drawdown,b_trade_count,c_trade_count,delta_trade_count,trade_count_pct_change,b_trade_win_rate,c_trade_win_rate,delta_trade_win_rate,b_daily_win_rate_net,c_daily_win_rate_net,delta_daily_win_rate_net
AG,0.227400,1.895328,1.667928,0.014378,0.898927,0.884548,-0.076608,-0.211322,-0.134714,67.000000,556.000000,489.000000,7.298507,0.597015,0.525180,-0.071835,0.105839,0.394161,0.288321
C,0.051197,1.480944,1.429747,0.001088,0.040402,0.039314,-0.032927,-0.015571,0.017356,130.000000,114.000000,-16.000000,-0.123077,0.376923,0.464912,0.087989,0.082192,0.173516,0.091324
SS,-2.296914,-1.090502,1.206412,-0.088024,-0.045413,0.042611,-0.099603,-0.055709,0.043893,252.000000,270.000000,18.000000,0.071429,0.428571,0.451852,0.023280,0.229885,0.272031,0.042146
I,0.042471,1.169102,1.126632,-0.004262,0.170952,0.175213,-0.115836,-0.069211,0.046625,149.000000,154.000000,5.000000,0.033557,0.523490,0.545455,0.021965,0.269406,0.301370,0.031963
JM,-0.541130,0.396086,0.937216,-0.050337,0.038400,0.088737,-0.114747,-0.138527,-0.023780,61.000000,73.000000,12.000000,0.196721,0.475410,0.479452,0.004042,0.082192,0.095890,0.013699
L,-0.907821,0.000000,0.907821,-0.045835,0.000000,0.045835,-0.077687,0.000000,0.077687,59.000000,0.000000,-59.000000,-1.000000,0.440678,0.000000,-0.440678,0.105023,0.000000,-0.105023
PG,0.707210,1.244209,0.536999,0.008809,0.005219,-0.003590,-0.005733,0.000000,0.005733,5.000000,2.000000,-3.000000,-0.600000,0.600000,1.000000,0.400000,0.013699,0.009132,-0.004566
CS,-0.501435,-0.067878,0.433557,-0.006693,-0.001310,0.005383,-0.012595,-0.015607,-0.003012,12.000000,26.000000,14.000000,1.166667,0.333333,0.384615,0.051282,0.018265,0.041096,0.022831
A,-1.121710,-0.728760,0.392950,-0.036712,-0.024142,0.012570,-0.045893,-0.043058,0.002835,47.000000,40.000000,-7.000000,-0.148936,0.510638,0.525000,0.014362,0.059361,0.054795,-0.004566
EG,-0.907185,-0.559044,0.348141,-0.016085,-0.012560,0.003525,-0.022831,-0.033225,-0.010394,8.000000,22.000000,14.000000,1.750000,0.375000,0.545455,0.170455,0.009132,0.045662,0.036530
B,-0.317325,0.000000,0.317325,-0.015570,0.000000,0.015570,-0.058759,0.000000,0.058759,38.000000,0.000000,-38.000000,-1.000000,0.421053,0.000000,-0.421053,0.041096,0.000000,-0.041096
NI,0.657234,0.908183,0.250949,0.057370,0.059936,0.002567,-0.078097,-0.019661,0.058436,119.000000,56.000000,-63.000000,-0.529412,0.546218,0.500000,-0.046218,0.183908,0.042146,-0.141762
FB,-1.046467,-0.801908,0.244559,-0.051835,-0.043878,0.007957,-0.068660,-0.067824,0.000836,219.000000,211.000000,-8.000000,-0.036530,0.452055,0.511848,0.059794,0.228311,0.242009,0.013699
HC,0.000000,0.158285,0.158285,0.000000,0.006954,0.006954,0.000000,-0.037541,-0.037541,0.000000,99.000000,99.000000,,0.000000,0.414141,0.414141,0.000000,0.146119,0.146119
FU,1.021320,1.173096,0.151776,0.163142,0.291209,0.128067,-0.088575,-0.106043,-0.017468,164.000000,132.000000,-32.000000,-0.195122,0.536585,0.492424,-0.044161,0.262222,0.231111,-0.031111
SP,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RU,0.552596,0.552381,-0.000215,0.027705,0.036391,0.008686,-0.050284,-0.049331,0.000953,23.000000,40.000000,17.000000,0.739130,0.565217,0.600000,0.034783,0.045662,0.077626,0.031963
EB,-0.267861,-0.290276,-0.022415,-0.008602,-0.008127,0.000475,-0.026029,-0.018696,0.007333,16.000000,10.000000,-6.000000,-0.375000,0.437500,0.500000,0.062500,0.027397,0.022831,-0.004566
RR,-3.422897,-3.453480,-0.030583,-0.183182,-0.182582,0.000600,-0.162428,-0.161889,0.000539,287.000000,283.000000,-4.000000,-0.013937,0.379791,0.356890,-0.022900,0.205479,0.205479,0.000000
JD,-1.177524,-1.208509,-0.030985,-0.054746,-0.054809,-0.000063,-0.065264,-0.054817,0.010447,65.000000,68.000000,3.000000,0.046154,0.584615,0.470588,-0.114027,0.146119,0.132420,-0.013699
AU,0.826668,0.577246,-0.249421,0.141934,0.087115,-0.054819,-0.102718,-0.118723,-0.016005,334.000000,376.000000,42.000000,0.125749,0.458084,0.460106,0.002023,0.248175,0.281022,0.032847
Y,0.843883,0.525606,-0.318278,0.009829,0.008304,-0.001525,-0.002085,-0.006815,-0.004730,2.000000,5.000000,3.000000,1.500000,0.500000,0.600000,0.100000,0.004566,0.013699,0.009132
M,2.512332,1.798851,-0.713481,0.038900,0.011656,-0.027244,-0.001151,-0.000081,0.001071,11.000000,4.000000,-7.000000,-0.636364,0.818182,0.750000,-0.068182,0.036530,0.013699,-0.022831
SN,0.600603,-0.218900,-0.819503,0.049725,-0.018701,-0.068426,-0.056240,-0.077037,-0.020797,44.000000,38.000000,-6.000000,-0.136364,0.545455,0.315789,-0.229665,0.065134,0.034483,-0.030651
CU,0.973762,0.066464,-0.907298,0.048010,0.002108,-0.045902,-0.029137,-0.041084,-0.011947,135.000000,70.000000,-65.000000,-0.481481,0.555556,0.471429,-0.084127,0.176245,0.080460,-0.095785
AL,1.659217,0.680466,-0.978751,0.149657,0.048055,-0.101602,-0.045760,-0.046736,-0.000976,182.000000,64.000000,-118.000000,-0.648352,0.565934,0.531250,-0.034684,0.164234,0.065693,-0.098540
P,1.068435,0.000000,-1.068435,0.007861,0.000000,-0.007861,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000,-1.000000,1.000000,0.000000,-1.000000,0.004566,0.000000,-0.004566
BU,-0.515772,-1.613966,-1.098194,-0.037658,-0.083936,-0.046278,-0.107194,-0.096232,0.010962,138.000000,57.000000,-81.000000,-0.586957,0.463768,0.438596,-0.025172,0.195918,0.073469,-0.122449
PB,0.679070,-0.450223,-1.129293,0.013668,-0.012495,-0.026164,-0.010027,-0.051718,-0.041691,61.000000,84.000000,23.000000,0.377049,0.540984,0.511905,-0.029079,0.103448,0.149425,0.045977
ZN,1.776273,0.412672,-1.363601,0.010983,0.004637,-0.006346,-0.001012,-0.006573,-0.005561,7.000000,4.000000,-3.000000,-0.428571,1.000000,0.500000,-0.500000,0.019157,0.007663,-0.011494
PP,-0.112130,-1.857722,-1.745591,-0.002378,-0.035785,-0.033408,-0.014323,-0.035674,-0.021351,17.000000,28.000000,11.000000,0.647059,0.470588,0.392857,-0.077731,0.031963,0.050228,0.018265
J,0.346821,-1.446476,-1.793296,0.031451,-0.032554,-0.064005,-0.098632,-0.029818,0.068814,114.000000,6.000000,-108.000000,-0.947368,0.508772,0.333333,-0.175439,0.200913,0.004566,-0.196347
RB,1.767602,-1.498178,-3.265780,0.024731,-0.023516,-0.048248,-0.001060,-0.021190,-0.020130,5.000000,7.000000,2.000000,0.400000,0.800000,0.142857,-0.657143,0.017778,0.004444,-0.013333
