product_id,b_sharpe,c_sharpe,delta_sharpe,b_annual_return,c_annual_return,delta_annual_return,b_max_drawdown,c_max_drawdown,delta_max_drawdown,b_trade_count,c_trade_count,delta_trade_count,trade_count_pct_change,b_trade_win_rate,c_trade_win_rate,delta_trade_win_rate,b_daily_win_rate_net,c_daily_win_rate_net,delta_daily_win_rate_net
SP,4.021738,5.232221,1.210483,0.352349,0.496915,0.144566,-0.021246,-0.012518,0.008728,293.000000,350.000000,57.000000,0.194539,0.532423,0.545714,0.013291,0.447489,0.534247,0.086758
C,4.513259,5.713760,1.200501,0.147128,0.156401,0.009273,-0.009540,-0.004601,0.004939,319.000000,306.000000,-13.000000,-0.040752,0.536050,0.549020,0.012969,0.493151,0.479452,-0.013699
WR,2.165125,3.105572,0.940447,0.291656,0.484097,0.192441,-0.097672,-0.098101,-0.000429,591.000000,686.000000,95.000000,0.160745,0.351946,0.335277,-0.016669,0.452055,0.538813,0.086758
RR,-2.231397,-1.302419,0.928978,-0.131645,-0.095262,0.036383,-0.145161,-0.135785,0.009376,429.000000,419.000000,-10.000000,-0.023310,0.412587,0.436754,0.024167,0.264840,0.287671,0.022831
AG,6.448377,7.351846,0.903468,11.606972,13.529023,1.922051,-0.084115,-0.057909,0.026206,353.000000,387.000000,34.000000,0.096317,0.603399,0.589147,-0.014252,0.576642,0.576642,0.000000
BU,6.335238,7.193522,0.858283,0.619575,0.792781,0.173207,-0.027086,-0.020021,0.007065,278.000000,301.000000,23.000000,0.082734,0.593525,0.611296,0.017771,0.571429,0.608163,0.036735
PB,3.199732,4.020591,0.820859,0.168089,0.314676,0.146588,-0.020645,-0.023186,-0.002541,256.000000,346.000000,90.000000,0.351562,0.546875,0.563584,0.016709,0.455939,0.509579,0.053640
EG,1.839532,2.591104,0.751571,0.105864,0.175975,0.070111,-0.022375,-0.037394,-0.015020,122.000000,135.000000,13.000000,0.106557,0.540984,0.607407,0.066424,0.310502,0.347032,0.036530
PG,6.184403,6.912165,0.727761,0.714127,0.811771,0.097644,-0.033664,-0.028849,0.004815,240.000000,313.000000,73.000000,0.304167,0.612500,0.635783,0.023283,0.616438,0.639269,0.022831
RB,4.733212,4.979857,0.246645,0.331580,0.329440,-0.002140,-0.008400,-0.013199,-0.004799,264.000000,292.000000,28.000000,0.106061,0.583333,0.571918,-0.011416,0.457778,0.453333,-0.004444
CS,4.242045,4.462262,0.220217,0.133690,0.148248,0.014559,-0.009129,-0.010817,-0.001688,149.000000,168.000000,19.000000,0.127517,0.597315,0.630952,0.033637,0.388128,0.424658,0.036530
JM,7.316381,7.508974,0.192593,2.452371,2.255598,-0.196772,-0.025178,-0.033135,-0.007957,746.000000,769.000000,23.000000,0.030831,0.561662,0.568270,0.006608,0.616438,0.675799,0.059361
ZN,4.362315,4.460035,0.097720,0.382829,0.355118,-0.027711,-0.024996,-0.019657,0.005339,300.000000,303.000000,3.000000,0.010000,0.543333,0.547855,0.004521,0.478927,0.478927,0.000000
AU,5.924741,5.993388,0.068648,1.753924,1.791218,0.037295,-0.042304,-0.051938,-0.009635,410.000000,447.000000,37.000000,0.090244,0.663415,0.617450,-0.045965,0.572993,0.543796,-0.029197
CU,5.825082,5.878339,0.053256,0.489265,0.523216,0.033951,-0.025344,-0.034686,-0.009342,284.000000,303.000000,19.000000,0.066901,0.605634,0.567657,-0.037977,0.521073,0.524904,0.003831
V,3.224477,3.254470,0.029993,0.220529,0.295771,0.075242,-0.014429,-0.023846,-0.009417,97.000000,111.000000,14.000000,0.144330,0.536082,0.576577,0.040494,0.219178,0.264840,0.045662
M,4.044142,4.008914,-0.035228,0.208372,0.239978,0.031605,-0.018902,-0.023333,-0.004431,223.000000,232.000000,9.000000,0.040359,0.582960,0.594828,0.011868,0.452055,0.465753,0.013699
JD,6.446019,6.255656,-0.190364,0.397682,0.396733,-0.000948,-0.007743,-0.008261,-0.000519,328.000000,352.000000,24.000000,0.073171,0.545732,0.571023,0.025291,0.470320,0.497717,0.027397
BB,2.393027,2.164645,-0.228383,0.971204,0.912835,-0.058369,-0.077846,-0.120202,-0.042355,88.000000,120.000000,32.000000,0.363636,0.375000,0.316667,-0.058333,0.123288,0.127854,0.004566
RU,4.481592,4.139123,-0.342469,0.639580,0.641476,0.001896,-0.020411,-0.046306,-0.025895,556.000000,544.000000,-12.000000,-0.021583,0.514388,0.518382,0.003994,0.570776,0.557078,-0.013699
SN,6.660726,6.261967,-0.398760,1.370272,1.304312,-0.065960,-0.020307,-0.021618,-0.001311,343.000000,359.000000,16.000000,0.046647,0.635569,0.618384,-0.017184,0.547893,0.547893,0.000000
B,4.492839,3.967105,-0.525735,0.325229,0.287637,-0.037592,-0.032725,-0.034227,-0.001502,209.000000,193.000000,-16.000000,-0.076555,0.617225,0.580311,-0.036914,0.552511,0.479452,-0.073059
Y,3.821097,3.081456,-0.739640,0.248536,0.212151,-0.036385,-0.020292,-0.023926,-0.003634,255.000000,328.000000,73.000000,0.286275,0.541176,0.518293,-0.022884,0.529680,0.534247,0.004566
FU,6.673196,4.772749,-1.900447,4.932703,1.955786,-2.976917,-0.064300,-0.195379,-0.131079,459.000000,437.000000,-22.000000,-0.047930,0.557734,0.556064,-0.001670,0.697778,0.657778,-0.040000
FB,2.593749,-0.035835,-2.629584,0.208335,-0.008978,-0.217313,-0.045244,-0.106583,-0.061339,464.000000,410.000000,-54.000000,-0.116379,0.487069,0.448780,-0.038288,0.410959,0.347032,-0.063927
